title,company,location,description,salary_min,salary_max,redirect_url
Software Engineer-Artificial Intelligence (Artificial Intelligence),The Boeing Company,"Kinloch, Saint Louis County","Job Description At Boeing, we innovate and collaborate to make the world a better place. We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. The Boeing Company is seeking a Software Engineer - Artificial Intelligence to join the Air Proprietary 2 (AP2) team located in Berkeley, MO . This position will focus on supporting the Boeing Defense, Space & Security (BDS) busi…",118634.95,118634.95,https://www.adzuna.com/land/ad/5609499782?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=2A9D919EC701D904F7E9E18A9810301BC489628A
Artificial Intelligence Strategist,Cognizant,"International, King County","Artificial Intelligence Strategist Location: US About the Role The AI Strategist plays a pivotal role in shaping Cognizant's AI portfolio by designing high impact AI use cases, building compelling value propositions, and enabling early-stage client engagement. Sitting at the intersection of business design, AI capability, and industry needs, this role transforms opportunity spaces into structured, scalable, commercially strong AI offerings that drive growth for the AI Market Unit. Impact AI use…",164538.45,164538.45,https://www.adzuna.com/land/ad/5618584282?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=860CE5089C3BA4CF32E41F822BF72ABE1A3BB10E
Artificial Intelligence Leader,"Sensata Technologies, Inc.","Attleboro, Bristol County","The Artificial Intelligence Leader at Sensata will lead our enterprise-wide AI strategy and initiatives, driving innovation and transformation across all business functions-including engineering, manufacturing, supply chain, commercial, and corporate operations-within a global manufacturing and technology organization. This role is responsible for shaping and executing AI strategies that deliver scalable solutions and measurable impact, leveraging industrial and enterprise data to unlock new ef…",114973.64,114973.64,https://www.adzuna.com/land/ad/5502425839?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=E1D803B4AB6EAFDC5B38ECBC12083E5C61E775E8
Artificial Intelligence Engineer,Allegion,"Carmel, Hamilton County","Creating Peace of Mind by Pioneering Safety and Security _At Allegion, we help keep the people you know and love safe and secure where they live, work and visit. With more than 30 brands, 12,000 employees globally and products sold in 130 countries, we specialize in security around the doorway and beyond. Additionally, in 2024 we were awarded the Gallup Exceptional Workplace Award, which recognizes the most engaged workplace cultures in the world._ We are seeking an Applied AI Engineer with str…",109078.59,109078.59,https://www.adzuna.com/land/ad/5612610378?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=7F57A4FAF7BDE211739B6DA63DD2279F10A26295
Artificial Intelligence Engineer with Security Clearance,Shield Consulting Solutions,"Annapolis, Anne Arundel County","Active TS/SCI w/Polygraph REQUIRED Please do not apply if you do not currently possess this level of clearance.  Telework: Up to 2 days per week Job Description: * The AI Engineer will work closely with system and software engineers to design, prototype, and integrate AI advancements into the existing RAD architecture. * This is a transformative position focused on building solutions that augment human intelligence, streamline workflows, and enhance the overall effectiveness of intelligence ope…",189153.53,189153.53,https://www.adzuna.com/land/ad/5626634209?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D68FFC8320134665892A9D21F2EDD4623B4CE4A7
Research Intern - Artificial Intelligence,Microsoft Corporation,"Redmond, King County","Overview Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers, who pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, computer science, mathematics, economics, physics, healthcare, and the environment. Microsoft Research Asia - Vancouver lab (https://www.microsoft.com/en-us/resea…",74324.37,74324.37,https://www.adzuna.com/land/ad/5505984989?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=69755B1CE044CCF81D8E1A3C7A3C285B4AF80913
"Director, Artificial Intelligence - Hybrid","XPO, Inc.","Boston, Suffolk County","Director, Artificial Intelligence - Hybrid Requisition Id: 377755 Business Unit: Corporate Location: Boston, MA, US, 02111 What you'll need to succeed as a Director, Artificial Intelligence at XPO: Minimum Qualifications:  Bachelor's degree or equivalent related work or military experience  7 years of data science, operations research and/or software engineering experience in Artificial Intelligence and Machine Learning with a proven track record of building and deploying AI models.  5 years of…",125650.98,125650.98,https://www.adzuna.com/land/ad/5618319025?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=DA64B9CEE11925A6FD4625D547AAE852910A6CAA
"Director, Data & Artificial Intelligence","Equity Bancshares, Inc.","Andover, Butler County","Jump start your career at Equity Bank! We are currently hiring energetic, team oriented, and community focused individuals to join our team! With a team of best-in-class customer service experts, youll help to build and expand on client relationships, deliver the banking products and services that meet the unique and individual needs of clients, and create and uphold an atmosphere of superior experience and service. At Equity Bank we’ll help you invest in your community through volunteer opport…",129598.78,129598.78,https://www.adzuna.com/land/ad/5629612051?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=8AC02F6167CF8C41EBA09A58C7467D6FBF4B12E9
Artificial Intelligence Engineering Manager,Bank of America,"Charlotte, Mecklenburg County","Artificial Intelligence Engineering Manager Charlotte, North Carolina;Addison, Texas To proceed with your application, you must be at least 18 years of age. Acknowledge Refer a friend To proceed with your application, you must be at least 18 years of age. Acknowledge (https://ghr.wd1.myworkdayjobs.com/Lateral-US/job/Charlotte/Artificial-Intelligence-Engineering-Manager\_25047779) Job Description: At Bank of America, we are guided by a common purpose to help make financial lives better through t…",121498.23,121498.23,https://www.adzuna.com/land/ad/5535409547?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=8C2DEA4DC430993449F7C7B2149A37750C06D8A5
Artificial Intelligence Lead (Engineer),Cushman & Wakefield,"Westwood, Saint Louis County","Job Title Artificial Intelligence Lead (Engineer) Job Description Summary The AI Strategic Engineering Specialist is a visionary technologist responsible for architecting, engineering, and operationalizing next generation AI systems that transform how C&W supports Global Occupier clients. This role sits at the intersection of advanced AI/ML engineering, real estate domain strategy, data platform architecture, and product innovation, owning the full lifecycle of intelligent automation and decisi…",171350.9,171350.9,https://www.adzuna.com/land/ad/5619907775?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=769D47F0478A6EB6899EA32F09AE611E369D9303
Project Manager - Artificial Intelligence,CBRE,"Cloverdale, Shelby County","About The Role: CBRE is seeking an experienced and results-driven Project Manager to join CBRE's Business Transformation Office (BTO). This role belongs to the Project Management Office (PMO) and Change Management Team, one of the core Capabilities Teams, working alongside Business Process Transformation and AI Implementation. A CBRE Project Manager will lead strategic transformation initiatives, including AI-driven projects, and collaborate closely with senior stakeholders and cross-functional…",256891.84,256891.84,https://www.adzuna.com/land/ad/5528225522?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=E49F2B1203BABDCE94758266FA261496D75FFDA6
Artificial Intelligence Graduate- US,AVEVA,"Lake Forest, Orange County","AVEVA is a global leader in industrial software. Our cutting-edge solutions are used by thousands of enterprises to deliver the essentials of life - such as energy, infrastructure, chemicals and minerals - safely, efficiently and more sustainably. We're the first software business in the world to have our sustainability targets validated by the SBTi, and we've been recognized for the transparency and ambition of our commitment to diversity, equity, and inclusion. We've also recently been named …",159047.67,159047.67,https://www.adzuna.com/land/ad/5401626670?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=49AA129359B1ED507A5FD450512583903DF2F976
Data Scientist - Artificial Intelligence,IBM,"Grand Central, Manhattan","Introduction We are seeking a highly skilled Data Scientist to join our team in the AI industry. This role involves leveraging advanced analytics, machine learning, and statistical modeling to extract insights from large datasets and develop innovative AI-driven solutions. The ideal candidate will combine strong technical expertise with a passion for solving complex problems and driving data-informed decision-making. Your role and responsibilities * Design, develop, and implement machine learni…",130100.56,130100.56,https://www.adzuna.com/land/ad/5561765432?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=1B5CE89C26C5B1394558D81C709EC0E46EFF9952
Artificial Intelligence (AI) Engineer,Robert Half,"Westport, Fairfield County","Description We are looking for a talented Systems Integration & AI Automation Specialist to join our team in Westport, Connecticut. In this role, you will design, implement, and optimize advanced AI solutions and system integrations to drive operational efficiency and enhance business processes. You will collaborate with cross-functional teams to identify opportunities for automation and AI enablement, ensuring scalable and impactful results. Responsibilities: - Develop and implement AI-driven …",116490.0,116490.0,https://www.adzuna.com/land/ad/5608033080?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=B0EFB253A85E51FC3001A5AD2FF98C3586A305D1
Artificial Intelligence (AI) Engineer,Robert Half,"Avon, Stearns County","Description We are looking for an AI Engineer to join our team. In this role, you will contribute to the development and implementation of AI and Machine Learning solutions that optimize renewable energy projects. You will work on creating scalable models, applications, and workflows that drive data-driven decision-making across the organization while adhering to established engineering standards and practices. Responsibilities: - Develop, test, and deploy AI/ML models and applications to enhan…",88808.23,88808.23,https://www.adzuna.com/land/ad/5627025444?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=C75C9206387D9536819AA34015FAA24206145865
"Research Associate Professor/Research Professor & Assistant Director, Artificial Intelligence",Prairie View A&M University,"Prairie View, Waller County","Job Description Job Description Job Title Research Associate Professor/Research Professor & Assistant Director, Artificial Intelligence Agency Prairie View A&M University Department Cooperative Agricultural Research Center Proposed Minimum Salary Commensurate Job Location Prairie View, Texas Job Type Faculty Job Description The Cooperative Agricultural Research Center (CARC) at Prairie View A&M University seeks qualified candidates for the Research Associate Professor or Professor and AI in Agr…",116518.89,116518.89,https://www.adzuna.com/land/ad/5624074138?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=10BB1B469D095867A2B6D94511287C2ACEF015F8
Artificial Intelligence/Machine Learning 2 with Security Clearance,Avid Technology Professionals,"Savage, Anne Arundel County","Required: Five (5) years experience in applied machine learning in programs and contracts of similar scope, type, and complexity is required. A Master's or Ph.D. degree in advanced math, artificial intelligence, data science, computer science or deep learning from an accredited college or university. 5 additional years of machine learning experience with a relevant Bachelor's degree may be substituted for a Master's degree. Experience with standard machine language frameworks, e.g. Pytorch, Ten…",120576.29,120576.29,https://www.adzuna.com/land/ad/5600836331?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D35818D614424285093B2E03BF86999597A5228F
Artificial Intelligence/Machine 2 with Security Clearance,"Wyetech, LLC","Annapolis, Anne Arundel County","At Wyetech, you'll be at the center of an award-winning corporate culture, breaking technological barriers and solving real-world problems for our federal government customers. We are committed to hiring the best of the best, and in return, we offer a world-class, truly unique employee experience that is rare within our industry. The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models …",209283.84,209283.84,https://www.adzuna.com/land/ad/5596889523?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=FEFB4FCCB366A84A639539331937C2634366D062
Artificial Intelligence/Machine 1 with Security Clearance,"Wyetech, LLC","Annapolis, Anne Arundel County","At Wyetech, you'll be at the center of an award-winning corporate culture, breaking technological barriers and solving real-world problems for our federal government customers. We are committed to hiring the best of the best, and in return, we offer a world-class, truly unique employee experience that is rare within our industry. We are seeking an AI/ML Level 1 Engineer, responsible for building, training, fine-tuning, and evaluating advanced language models. The ideal candidate will have hands…",231210.7,231210.7,https://www.adzuna.com/land/ad/5602796307?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=896F6CCA81A70561D83D944350A05BC883EA029C
Artificial Intelligence Data Systems Intern,HP Inc.,"Boise, Ada County","SPONSORSHIP: (remove if offered to all): This opportunity is intended for conversion to a full-time role that will not offer work authorization sponsorship in the future (full-time conversion pending performance evaluation post internship and available headcount). Interested candidates must be currently eligible to work in the US AND must not require work authorization sponsorship in the future. HP, Inc. will not provide any assistance or sign documentation in support of immigration sponsorship…",58937.17,58937.17,https://www.adzuna.com/land/ad/5616510774?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=8352ABCE0DFA0184142304F8D11CE84F86021963
"Associate Software Engineer, Artificial Intelligence",The Boeing Company,"Redstone Arsenal, Madison County","Job Description At Boeing, we innovate and collaborate to make the world a better place. We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. The Boeing Applications & Innovations Artificial Intelligence software team is currently looking for an Associate Software Engineer to join their Artificial Intelligence (AI) team in Huntsville, A laba ma . As part of the Boeing …",102678.31,102678.31,https://www.adzuna.com/land/ad/5626943350?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=A077CE2EE9C3269065D130FA9ACE9204C2793FA7
Artificial Intelligence/Machine Learning Engineer,Lockheed Martin,"Colorado Springs, El Paso County","Description: WHAT WE'RE DOING We are creating Artificial Intelligence/Machine Learning \(AI/ML\) algorithms to significantly improve our defensive capabilities for advanced, maneuvering missile threats\. These algorithms are the foundation of microservices that are being integrated into large command and control \(C2\) programs of record\. Artificial Intelligence/Machine Learning Engineer THE WORK The Lockheed Martin REALM AI team is looking for an AI/ML engineer who is passionate about cutting…",139861.34,139861.34,https://www.adzuna.com/land/ad/5587148664?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=E165460E3AEB63A9F6FB4F09B2625E9DB914B16B
Artificial Intelligence Senior Security Engineer,Bank of America,"Glendale, Denver","Artificial Intelligence Senior Security Engineer Chicago, Illinois;Washington, District of Columbia; Boston, Massachusetts; Denver, Colorado To proceed with your application, you must be at least 18 years of age. Acknowledge Refer a friend To proceed with your application, you must be at least 18 years of age. Acknowledge (https://ghr.wd1.myworkdayjobs.com/Lateral-US/job/Chicago/Artificial-Intelligence-Senior-Security-Engineer\_25044533) Job Description: At Bank of America, we are guided by a c…",161875.86,161875.86,https://www.adzuna.com/land/ad/5494443511?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=848FC75107D2B07E443278F83BEB39A15DCDE6BE
Artificial Intelligence Senior Security Engineer,Bank of America,"Boston, Suffolk County","Artificial Intelligence Senior Security Engineer Chicago, Illinois;Washington, District of Columbia; Boston, Massachusetts; Denver, Colorado To proceed with your application, you must be at least 18 years of age. Acknowledge Refer a friend To proceed with your application, you must be at least 18 years of age. Acknowledge (https://ghr.wd1.myworkdayjobs.com/Lateral-US/job/Chicago/Artificial-Intelligence-Senior-Security-Engineer\_25044533) Job Description: At Bank of America, we are guided by a c…",129617.32,129617.32,https://www.adzuna.com/land/ad/5497930101?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=310E6B20EC6C8F73F8883FE1ACE057126EFE9049
Artificial Intelligence Senior Security Engineer,Bank of America,"Washington, D.C., US","Artificial Intelligence Senior Security Engineer Chicago, Illinois;Washington, District of Columbia; Boston, Massachusetts; Denver, Colorado To proceed with your application, you must be at least 18 years of age. Acknowledge Refer a friend To proceed with your application, you must be at least 18 years of age. Acknowledge (https://ghr.wd1.myworkdayjobs.com/Lateral-US/job/Chicago/Artificial-Intelligence-Senior-Security-Engineer\_25044533) Job Description: At Bank of America, we are guided by a c…",140051.67,140051.67,https://www.adzuna.com/land/ad/5494514106?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=CEEB615C73A6D0E31D38291DA936C3A9F5C6931A
Senior MLOps Engineer - Artificial Intelligence,Bloomberg,"Grand Central, Manhattan","Senior MLOps Engineer - Artificial Intelligence Location New York Business Area Engineering and CTO Ref  10036291 Description & Requirements Bloomberg's Engineering AI department has 350 AI practitioners building highly sought after products and features that often require novel innovations. We are investing in AI to build better search, discovery, and workflow solutions using technologies such as transformers, gradient boosted decision trees, large language models, and dense vector databases. …",276056.9,276056.9,https://www.adzuna.com/land/ad/5052449689?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=845AF40264CA7ED8A226605EC633722C43B3F0F6
Artificial Intelligence and Analytics Engagement Manager,The Boeing Company,"International, King County","Job Description At Boeing, we innovate and collaborate to make the world a better place. We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. The Boeing Company is currently seeking an Artificial Intelligence and Analytics Engagement Manager to join the team in Seattle, WA; Renton, WA; Mesa, AZ; or Berkeley, MO. This individual will join the Enterprise Artificial Intel…",102316.25,102316.25,https://www.adzuna.com/land/ad/5631427974?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D95AEE721EA245D13A358D98D766A0DFC4FCD706
Intern - Data Science and Artificial Intelligence,Labcorp,"Durham, Durham County","Company Overview: At Labcorp, we believe in the power of science to change lives. We are nearly 70,000 people across 100 countries who are harnessing science for human good. Our work combines unparalleled diagnostic laboratories, drug development capabilities and commercial innovations. Together, we fuel scientific breakthroughs and deliver more than 160 million medical test results that help guide treatment decisions, accelerate patient care and change lives. Join us in our pursuit of answers.…",55758.25,55758.25,https://www.adzuna.com/land/ad/5630389931?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D224B9444E0A2698DC7FA496462F941F66B09948
Intern - Data Science and Artificial Intelligence,Labcorp,"Graham, Alamance County","Company Overview: At Labcorp, we believe in the power of science to change lives. We are nearly 70,000 people across 100 countries who are harnessing science for human good. Our work combines unparalleled diagnostic laboratories, drug development capabilities and commercial innovations. Together, we fuel scientific breakthroughs and deliver more than 160 million medical test results that help guide treatment decisions, accelerate patient care and change lives. Join us in our pursuit of answers.…",53437.94,53437.94,https://www.adzuna.com/land/ad/5630389929?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=467FC214266011C606ABBA73E81F528E4AFAA957
Lead Artificial Intelligence (AI) Engineer,Robert Half,"Avon, Stearns County","Description We are looking for a highly experienced Lead Artificial Intelligence (AI) Engineer to spearhead the development and implementation of cutting-edge AI and Machine Learning solutions within our organization. This role is integral to driving innovation, optimizing operational processes, and delivering impactful business outcomes across various projects. As a senior technical expert, you will collaborate with cross-functional teams to design scalable systems, set technical standards, an…",105880.71,105880.71,https://www.adzuna.com/land/ad/5549339114?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=FDECD703CCE69DFB3C8137401E7F794B228CDC66
Intermediate Artificial Intelligence (AI) Engineer,ASRC Federal Holding Company,"Redstone Arsenal, Madison County","ASRC Federal is a leading government contractor furthering missions in space, public health and defense. As an Alaska Native owned corporation, our work helps secure an enduring future for our shareholders. Join our team and discover why we are a top veteran employer and Certified Great Place to Work ASRC Federal Technology Solutions LLC is looking for an AI Engineer - Intermediate with a Secret clearance to support their work with the U.S. Army Contracting Command (ACC) Chief Information Offic…",116840.02,116840.02,https://www.adzuna.com/land/ad/5425448542?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=1B1BE2B967ECDCA8378272165BC94D0D7178173E
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Wake Island, Honolulu","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",90748.73,90748.73,https://www.adzuna.com/land/ad/5572791802?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=0CD282D346B07021807EF40946CB77C4AAC81410
Senior Artificial Intelligence (AI) Consultant,Highmark Health,"Cedar, Cole County","Company : Highmark Health Job Description : JOB SUMMARY This job is responsible for collaborating with leaders to understand their business objectives and challenges and providing expert guidance on the integration of artificial intelligence. This individual conducts assessments of systems, data, infrastructure, and business processes to identify opportunities for AI products and services. The incumbent collaborates across vendor partners, internal data scientists, data, and infrastructure to f…",104486.21,104486.21,https://www.adzuna.com/land/ad/5572825319?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=21C052AA8BF8BFC52D4B378AA5307ACB76EAFDC9
